ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{097CA343-6C64-4B6B-8F58-656E64976E2E},741015,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Misc map correction in Square 3317, 3322 on March 23, 2012",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{20E94088-1CA0-42A7-A90E-F981E0CBAC87},741016,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{012E4C3F-F3C7-4972-8EA6-1DCBB0C5A248},741017,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed Zoning boundary in Square 2087 to run along edge of lots on March 16, 2012; Misc map corrections in Square 2069 on April 27, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{217B0ADC-7F11-46B4-93FC-CB7CDCDDC4E2},741018,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{DA690FAA-7600-40BD-B514-A70262E8B92F},741019,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{16C290EF-3A69-43E4-9466-DA27F278CD29},741020,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{96911158-656C-4218-9B77-4BC5F09CE1B8},741021,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{C421FC65-967C-4D70-91AD-D3916B58ED02},741022,0,0
D-2,https://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Correction Made 11/6/13, Merged wrongly created C-3 PUD Zoning with correct underlying zoning",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,Downtown Zone,,SP-2,D-2,{18BA9652-109F-41F6-9B14-2CBF9664E1E8},741023,0,0
D-2,https://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Official Digital Zoning Map of July 1, 2010",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,Downtown Zone,,SP-2,D-2,{664D338D-AA0C-4888-B1CC-17FFD2EF940B},741024,0,0
