ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{91645645-0BC7-49F4-A4AC-5B8235297256},740727,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{5F1733A7-5DAD-4C11-A368-FB58415B3BE1},740728,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{BB8644D3-B31C-4392-B8B2-968D4BC86AE8},740729,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{D82B269C-E6A0-4C52-B4A4-CDD29A2E0306},740730,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{9535D742-A44B-44A5-9A8A-85319A5DCD21},740731,0,0
MU-10,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-10/,"Official Digital Zoning Map of July 1, 2010",Final,MU-10,Permits medium to high density mixed-use development with a balance of uses ,Mixed-Use Zone,,CR,MU-10,{26F3A691-BAED-48BE-965D-44A8CE3344C3},740732,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{D6DEEB5E-9A50-4D15-9D83-EA0B0566CA14},740733,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Mapping Error on March 12, 2012 by removing nodes in Square 1057",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{F45DB3DB-1E80-4789-9646-B209FE087A78},740734,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{B71C0BDE-1AAA-4BF6-96F8-830DC4859732},740735,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{AF67504D-F24C-4010-B2D4-6669829BCCB9},740736,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Misc map corrections in Square 5388 on March 30, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{2B9E0938-4DFD-4BD9-AEE2-D41442FC1F84},740737,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{A729ECAB-3EB3-440A-AC43-F5D4F3E5D3AE},740738,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{9208529E-9529-4073-8CEE-329AE4EA20D6},740739,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{63002887-5267-466A-B237-196F8E1386D1},740740,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{4EE979BC-3F4A-4F43-9851-39C6CEC7A393},740741,0,0
D-2,https://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Official Digital Zoning Map of July 1, 2010",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,Downtown Zone,,SP-2,D-2,{33BCD6D0-E94A-4FB5-A1F6-C2BCC8DE7FB1},740742,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{D69B2EBD-941E-4E11-8B1B-E1CAC694AA10},740743,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{C15E1CE5-883E-4ED5-9612-2ED3B92097A5},740744,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{BF7260A2-5DF1-455A-8E0C-C7D0BC7B1028},740745,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{A6A0BC09-07FF-4A03-9F03-34FB4AA7CDA7},740746,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{90954672-4808-45DB-AF21-B9AD0BF5B039},740747,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{09C032DA-FCFB-49B0-89D8-3DD7B428C63D},740748,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{FDD5D04C-ACB5-4B9B-874E-D0005918E530},740749,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed zoning boundary in Square 3187 to match DCGIS baist map on March 23, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9216A2F4-C53E-4C5F-8896-14F7BBB71759},740750,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{F7ABC451-8BB2-4BB1-AC5A-694AA76345A0},740751,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{8B0E8C02-690A-42A4-B8DC-4EA1B2672294},740752,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Correction of Maping error to align zoning boundary to match property line between Lots 246 and 244 in Square 0621 on March 7, 2012 ",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{98D0EFE0-F1CB-4630-8DEF-15608CADC43A},740753,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"MA from PDR-1 to MU-4 by ZC 18-07 on March 13, 2020",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{58A16764-6934-48CE-B5E3-F5A3D3B1ADC0},740754,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{4BDED55F-0F17-4AFA-8A4F-4EDF51DDC429},740755,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{61CCF393-055B-43F1-8F77-0AA68D082575},740756,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Fixed map error of SSL 4507 936, 07/14/11, Misc map correction in Square 4068 on March 26, 2012; Misc map correction in Square 4488 on March 28, 2012. Line adjustment for new lot sub 4507-171, 10/1/2021; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{9F1BDA92-E3AB-4FAA-BB38-24FCEF992404},740757,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{3FA9668C-CFDF-4FF0-A03E-B324EB8A28F0},740758,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{C8CEF09D-A7D1-4032-831A-26EB3D0E341F},740759,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,Amendments made based on ZC 10-19,Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{6B0DE288-C022-410D-81F5-B5E738645209},740760,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{248FDC45-EAE1-49FD-854B-63BB0A16666C},740761,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E99A87B2-DC85-4432-AADF-F7B5E1628C79},740762,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{694602BB-6A9F-482A-B768-DEA55CE7FFF4},740763,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{5FF568F4-0DE7-4A89-B8E6-0E71FB20EA73},740764,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{8617FC07-28C1-4AD5-AADC-15422B991090},740765,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{B3DE927F-1CB1-48A7-B482-C4A240566C67},740766,0,0
MU-2,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-2/,"Official Digital Zoning Map of July 1, 2010",Final,MU-2,Permits medium density residential and non-residential buildings,Mixed-Use Zone,,SP-2,MU-2,{77D4BE10-0EE0-47F0-B397-CA30C7AE6EF5},740767,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{BF065AC5-314D-4A71-9D8C-D7913E90D80A},740768,0,0
MU-14,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-14/,"Fixed Zoning boundary in Square 5861, 5789, 5805 on April 19, 2012 to match official zoning records",Final,MU-14,Permits high density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-3,MU-14,{60CBA36C-1C50-48C2-93EA-622BFFA32660},740769,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{930769AF-7A4A-43C8-85F8-7E31A75CA0DA},740770,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Miscellaneous map corrections in Square 2910 on March 22, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{6CB07C42-C469-4326-B50C-914367FFB280},740771,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{E845D5F8-C0C4-4A4B-BEC3-31E8A0AEBBD9},740772,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9EF5DC34-1F96-499D-A7C8-7D981083140A},740773,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{57897510-E591-4CB0-9F58-47992CA73ADE},740774,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{61438DB2-D000-4A4E-B8A5-398C5C0AC4F4},740775,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{22D2140D-3F88-449D-96D0-681E992F92A4},740776,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{2795BB04-3B35-4DB2-805C-1E59934E2A3A},740777,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{D562B91C-40D4-40E9-BD1F-3B7BB62EE88D},740778,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{0438A412-4BD6-4332-954E-7E18E72EE3EB},740779,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{15FCC3A3-BC1A-46EE-BF7A-85C2C4B51C4C},740780,0,0
D-5,https://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Official Digital Zoning Map of July 1, 2010",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,Downtown Zone,,C-3-C,D-5,{D95BB361-9B34-4F59-BFA7-6E00A735D271},740781,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed zoning boundary in Square 3594 to match DCGIS baist map on March 23, 2012; Misc map corrections in Square 804 on Apr 26, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{49B8B373-641D-48A8-B898-366CD7C5B6A5},740782,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{A45E7941-2B14-4299-A367-277AE81DC3FE},740783,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{D37BA8EE-BC68-4734-A9BE-834585298BE9},740784,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Official Digital Zoning Map of July 1, 2010",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{87B9FD9E-85A8-4C0D-812F-414EB9F6F234},740785,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{FF9D8525-15AF-45F2-A30D-53AF26A6B917},740786,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{019AADBF-BE22-4D8C-A7F4-E11A6C6AF1A0},740787,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{A3613C72-CE92-4A51-9520-AD3149CF099F},740788,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{B639E121-E918-4C00-B0C1-C96B214B23FF},740789,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{9E297B62-F4B7-4A05-B20F-35B3E74753FA},740790,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{29207484-3E1F-4F08-8E4C-C7F860F9A3A2},740791,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{8AE4554C-46CF-47FA-BBC2-86FDFDB0B187},740792,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,Fixed Error after ZCO 06-11J/12J mistkae,Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{965897A6-E5AC-4C7F-AFEF-21F524B98D72},740793,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{EA7C4557-7D0A-48F5-87A8-DAC434A6B334},740794,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{6EF340D0-6867-4F52-8D4C-0EA878D72097},740795,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{AD3436EF-2F8F-4BBE-A490-E00C334029B2},740796,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map correction in Square 5194 on March 29, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{48800D8C-7551-4DEB-8188-A28EBBFA0F4D},740797,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{36C2757A-66D5-40D8-966E-D7D663962E35},740798,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9197722E-4646-40E9-B044-26279F000C4D},740799,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{FF2F15CA-AC77-4670-A53B-3810882DE50A},740800,0,0
PDR-3,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-3,PDR-3,{751C5635-B378-492D-9D33-4608A99506E1},740801,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{A43DF1F2-BC46-43CB-B92C-FCBB4DD2EC19},740802,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{AA446F7F-8E20-4F04-A787-59B405C966BA},740803,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Correction made on March 1, 2012 for a wrongly drawn segment in Square 0306 Parcel 21",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{D80D3E51-3AC1-4893-9934-12F121495113},740804,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{3A475CA4-DD58-4EB4-97F2-675AB2E8F754},740805,0,0
PDR-3,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Fixed Zoning Boundary in Square 3075 to match Official Zoning records on April 18, 2012",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-3,PDR-3,{26F1F3F9-AA76-473D-A62F-3FF38D3EE016},740806,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{331351A2-6012-4146-8DFD-C35CBF891205},740807,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{139DD1A6-CF7F-41FE-BB86-D446DADD0BBC},740808,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{EF2A20EF-677E-48FC-9FEF-370127C79079},740809,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{548D4428-A81D-482F-AFB0-551BF82FCBA9},740810,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Zoning boundary in Square 5861, 5789, 5805 on April 19, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{FC6C30DF-97D3-4EC6-9670-DF53F7BEE24B},740811,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{7B5B8FB4-FB03-46A5-9753-65EFAB028099},740812,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{3F282FC9-2930-45C7-99C6-3C4BCA8158DA},740813,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{A698AB2B-8FBA-48E2-B8D4-6F3B71AAC507},740814,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{BEBE1A9B-FCB9-4740-A32D-A6D501D7F0E5},740815,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{C3CD8560-482E-42DA-8309-ABF8BE648322},740816,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Zoning boundary changed in Square 2852 to match Baist Book entry on Apr 27, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{D87F0BE0-40AB-4E31-8F43-C7E8C5B1B0C1},740817,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{1EEE87AF-0425-435A-8FA7-8A0CC58778B2},740818,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{29FDC12F-565D-40D3-A65A-478BE87B346A},740819,0,0
