X,Y,LITTERID,MAPX,MAPY,LINK_ID,TYPE,BUSSTOP,NAME,CREATEDAT,GLOBALID,LINERCHG,OWNER,LINEREA,LCAN_REPAI,RAT_COVER,POWERWASH,LCAN_DAMAG,DOOR,CONCRETE_B,COMMENTS,SENSORED,OBJECTID,GIS_ID,GLOBALID_1,CREATOR,CREATED,EDITOR,EDITED
-77.0199771505361,38.9746978622131,2042,398269.118056,145196.743962,1102,2,0,TQ,2004/02/23 05:00:00+00,{BEFD53B8-4E84-4928-BACB-0722F85B20A7},,1,4, ,,, , , ,"ratplates, powerwash",0,21,LitterCans_28,{79AE50BE-4225-4BEA-9D93-ED7CBE46CA04},,,,
-77.0179019382412,38.9745419685523,2006,398448.937898,145179.40106,18027,1,1,TQ,2004/02/23 05:00:00+00,{A5836B40-6CBE-47D9-8A0F-0A20A27ECFB4},,1, , ,,, , , ,"ratplates, powerwash",0,22,LitterCans_29,{A6ACC6C3-4C93-433C-B68A-50534D4FBE54},,,,
-77.0181073643064,38.9744432517335,2007,398431.135403,145168.445679,23735,1,1,TQ,2004/02/23 05:00:00+00,{F0EE4579-0B54-43BA-9B10-E82CA5B0954E},,1,4, ,,, , , ,"ratplates, powerwash",0,23,LitterCans_31,{EDAE0531-D166-45E3-915D-9DA023DD28FE},,,,
-77.0181542061302,38.974262061882,2012,398427.071718,145148.333108,23735,1,1,TQ,2004/02/23 05:00:00+00,{C27A117F-B380-4D5B-B260-736FAF9EC850},,1,4, ,,, , , ,"ratplates, powerwash",0,24,LitterCans_33,{54CF19C7-35A8-43FE-AA7C-443559AEFE29},,,,
-77.0178860653123,38.9742459064009,2009,398450.307321,145146.534915,21373,1,0,TQ,2004/02/23 05:00:00+00,{FF02D223-794C-4638-B1CE-22B1B821E50D},,1, , ,,, , , ,"ratplates, powerwash",0,25,LitterCans_34,{3051CD62-4058-4F5F-88E8-334F3651726E},,,,
-77.0163582250846,38.974205872324,2003,398563.969406,145228.700278,6003,1,1,TQ,2004/02/23 05:00:00+00,{8578A84C-F1DB-4EC0-B48C-631708621E2A},,1,4, ,,, , , ,"ratplates, powerwash",0,26,LitterCans_35,{D8FAD40B-5085-4885-8FEA-AB51385DEF24},,,,
-77.017882982772,38.9740567880229,2014,398450.570417,145125.541137,23735,1,0,TQ,2004/02/23 05:00:00+00,{2AE028CD-4588-42E4-8EE5-0040CA94F4FD},,1, , ,,, , , ,"ratplates, powerwash",0,27,LitterCans_36,{51554FB1-E7DE-4EFC-A573-F6A878A9C60D},,,,
-77.0279021654004,38.9606225681713,2229,397581.913616,143634.43383,13756,1,1,TQ,2004/02/23 05:00:00+00,{E5D1A592-9967-49EE-B57C-D0FFA4B19C5F},,1, , ,,, , , ,"ratplates, powerwash",0,28,LitterCans_37,{FF101BD0-A2E0-4961-B672-C58D32FD1984},,,,
-77.0333232184145,38.9605075095819,2405,397112.065687,143621.818507,26369,1,0,TQ,2004/02/24 05:00:00+00,{AA74952A-B262-45F1-A589-20393367FAAF},,1, , ,,, , , ,"ratplates, powerwash",0,29,LitterCans_39,{90F02436-7C5A-48E8-844B-5D1772121BB7},,,,
-77.0277392492493,38.9604161556803,4902,397596.027343,143611.515703,20873, ,0,KEO,2008/01/23 05:00:00+00,{1623A413-AB1E-44B3-9401-500C2581E35F},,P, , ,,, , , , ,0,30,LitterCans_40,{DF1B64FF-1EA6-4247-B5AF-4DDF9696ADDA},,,,
-77.0335324000834,38.960331689645,2406,397093.92867,143602.307473,26369,1,0,TQ,2004/02/24 05:00:00+00,{6F515083-1D1D-4ABE-8233-AE5AF7F09B6F},,1, , ,,, , , ,"ratplates, powerwash",0,31,LitterCans_41,{D38FF7B8-B7A7-4AF2-B7C9-9B9D1917E267},,,,
-77.0364937965488,38.9603010935607,2402,396837.262402,143599.009834,8541,1,0,TQ,2004/02/24 05:00:00+00,{73AE36CD-DFDB-4598-BA5C-88E98E704956},,1, , ,,, , , , ,0,32,LitterCans_42,{B4F9D3E0-2B8A-4C6B-947E-4D9C7310E296},,,,
-77.0000347434655,38.9602870072055,1879,399998.772546,143596.791713,24749,1,0,TQ,2004/02/20 05:00:00+00,{6167F454-A891-45B5-86B3-79D89FDB7E12},,1, , ,,, , , , ,0,33,LitterCans_44,{EADDF955-B2CF-48FC-8080-77F759AC9EFD},,,,
-76.9987612327253,38.9601937291666,5401,400107.56302,143586.460263,12291, ,0,YXF,2008/02/21 05:00:00+00,{A7E584D1-9312-4B50-B690-25DB3C2C6248},, , , ,,, , , , ,0,34,LitterCans_46,{5BC44749-B37A-4383-A544-DC25102FAE7E},,,,
-77.02688289545,38.9601559810204,4906,397670.238681,143582.61234,9998,Steel,0,KEO,2008/01/23 05:00:00+00,{035C39AD-8A0D-440B-BCA0-9F1694ADA32A},,P, , ,,, , , , ,0,35,LitterCans_47,{EF5EE62C-C0BD-4158-A830-58D4E89A1082},,,,
-76.999924798553,38.9601139044991,1878,399993.656335,143562.11517,742,1,1,TQ,2004/02/20 05:00:00+00,{D89BB049-0064-4A17-888A-88AB783EE63F},,1,4, ,,, , , ,"ratplates, powerwash",0,36,LitterCans_48,{175F14BB-ADA0-46AF-8D4D-5659DB2FE7D3},,,,
-77.0362875820097,38.9600808337486,2401,396855.124615,143574.552342,6491,1,0,TQ,2004/02/24 05:00:00+00,{09792169-2747-45DF-AC6C-D412F1B80DF9},,1, , ,,, , , , ,0,37,LitterCans_49,{BF65318F-7C16-411D-865D-E80FB77525A7},,,,
-77.0868004831408,38.9600418044296,0,0,0,0,1,0,TQ,,{967EBDE5-D5D6-4D15-BAC9-8B05324667E3},,1, , ,,, , , , ,0,38,LitterCans_50,{02AB054C-4EE6-405A-B5F7-DB35BEF03236},,,,
-77.0273785142477,38.9598743939512,4905,397627.274222,143551.365462,20873, ,0,KEO,2008/01/23 05:00:00+00,{B7149153-F3E2-441B-A1E7-A3AE15854946},,P, , ,,, , , , ,0,39,LitterCans_53,{199CF044-7BE1-43F8-8013-D25776F4DA21},,,,
-77.0727526072748,38.959819498824,2600,393694.649713,143547.428794,5573,1,0,TQ,2004/02/24 05:00:00+00,{457F15A5-4CDD-4127-A9D5-932B5086FB0B},,1, , ,,, , , , ,0,40,LitterCans_54,{58FA4A18-DA96-483A-9CCA-DC0E4CDFD2F4},,,,
-76.9999126264894,38.9597460972894,5400,400007.771227,143536.768023,14614,Steel,0,YXF,2008/02/21 05:00:00+00,{31D64707-82FC-4C21-AF4E-FA2ADFB187C2},, , , ,,, , , , ,0,41,LitterCans_55,{F23F1E8D-3FB7-4746-B803-EFFE3047A5D2},,,,
-77.027603754355,38.9596597102007,4904,397607.744923,143527.539716,20873, ,0,KEO,2008/01/23 05:00:00+00,{710E5A12-BB4C-4C92-B3AD-54632EEE5F92},,P, , ,,, , , , ,0,42,LitterCans_56,{3E0891BB-3D57-4A42-B352-E75438D60072},,,,
-77.0003378302342,38.9595442757879,1818,399970.917618,143514.363864,25319,1,1,TQ,2004/02/20 05:00:00+00,{49098DBD-40E6-4D7F-839D-9EDBBA5FEB04},,1, , ,,, , , ,"ratplates, powerwash",0,43,LitterCans_57,{3671AF52-5A65-4E18-85F2-221D82729F96},,,,
-77.0722683370116,38.9594869438747,2601,393736.592793,143510.478938,19409,1,0,TQ,2004/02/24 05:00:00+00,{34BDFAAF-056E-462E-BD81-783ACD26407A},,1, , ,,, , , , ,0,44,LitterCans_58,{F4B519EC-9B01-432E-8A92-3B57918F2D9E},,,,
-76.9999752656499,38.9593510491129,1819,400009.573437,143489.351275,28225,1,1,TQ,2004/02/20 05:00:00+00,{62A0F6D9-1DE8-4D2F-ADB7-95BE11945740},,1,4, ,,, , , ,"ratplates, powerwash",0,45,LitterCans_61,{A519E3F5-3C39-4C84-BDFD-3934D1B7C6EF},,,,
-77.0850593798904,38.9591929201972,3039,392627.943525,143478.79506,10128,1,1,TQ,2004/02/26 05:00:00+00,{372D511C-E8E4-4A1E-9836-CA7971475268},,1, , ,,, , , , ,0,46,LitterCans_62,{DFB774D0-514B-44E0-A5E1-BDB8AA3F1ABF},,,,
-77.0283082887965,38.9591924184135,2230,397546.665568,143475.685099,13756,1,1,TQ,2004/02/23 05:00:00+00,{2151D467-BB47-4FE5-8AFD-0F1178BCAE4E},,1, , ,,, , , ,"ratplates, powerwash",0,47,LitterCans_63,{B08FA3FD-A2C7-4A33-BE15-55178BF99610},,,,
-77.0859979066275,38.9591339141463,0,0,0,0,1,1,TQ,,{086BF3EA-96B1-42B5-90FE-1250D249C0E9},,1, , ,,, , , , ,0,48,LitterCans_64,{B97DDAED-036C-4E4F-A2A1-0845E0B11B23},,,,
-77.0851546308069,38.9591308379738,3040,392619.682104,143471.910542,10109,1,1,TQ,2004/02/26 05:00:00+00,{0DC81E0C-6D89-43D7-90B6-4620C5AD5E0C},,1, , ,,, , , , ,0,49,LitterCans_65,{BF23C67B-291F-402A-85BD-C95B48D00BE0},,,,
-77.0333162498986,38.9591509307529,2408,397112.615293,143471.226307,24908,1,0,TQ,2004/02/24 05:00:00+00,{412C4C8F-984B-4CCC-AB04-D9461040EBA6},,1, , ,,, , , ,"ratplates, powerwash",0,50,LitterCans_66,{A6251DEA-EA99-49F5-B845-2B805496FE17},,,,
-77.0011314503144,38.9589604905062,1880,399902.132999,143449.55852,16648,1,0,TQ,2004/02/20 05:00:00+00,{77FB5F1F-15DD-41FA-9844-AC7699A12DCD},,1, , ,,, , , , ,0,51,LitterCans_68,{3DE3E992-9DC3-48C2-82A6-747511D66FFE},,,,
-77.086301467235,38.9589259508908,0,0,0,0,1,1,TQ,,{AC4380C0-B7A2-4DFC-B340-7DEB06E5271D},,1, , ,,, , , , ,0,52,LitterCans_70,{6D9707C3-5ADA-434C-9F07-A14C831432CE},,,,
-77.0860238991097,38.958921867509,0,0,0,0,1,1,TQ,,{F911677B-9A24-483C-9976-DE27C3A77DF5},,1, , ,,, , , , ,0,53,LitterCans_71,{6F85BCA7-656F-4B9A-B222-A3D86BA586F2},,,,
-77.0846142356008,38.9589162300652,3038,392666.496825,143448.044214,2218,1,0,TQ,2004/02/26 05:00:00+00,{F51C3DC6-A3D1-4F74-9858-0C574E8AD43E},,1, , ,,, , , , ,0,54,LitterCans_72,{A8DE2B48-EE10-49B0-8538-9BA1FD42BCD1},,,,
-77.0274592622187,38.9589314083725,4911,397620.243674,143446.688417,20873,Concrete,0,KEO,2008/01/23 05:00:00+00,{2E353CF1-09BE-4029-BBE6-8FC821910B1B},, , , ,,, , , , ,0,55,LitterCans_73,{AFB408F3-1FF0-4A8D-81C0-1DDBE6E7198E},,,,
-77.088108248815,38.9588386734524,0,0,0,0,1,0,TQ,,{551F6371-5C6D-4B9C-8E0D-A8E0210A37F3},,1, , ,,, , , , ,0,56,LitterCans_75,{359E2748-A011-48A6-AA57-49F26DD1763F},,,,
-77.0270085883712,38.9588435566938,4910,397659.302273,143436.923768,10048,Steel,0,KEO,2008/01/23 05:00:00+00,{07959B1C-88A9-4EA5-BC5E-784BF624554E},, , , ,,, , , , ,0,57,LitterCans_76,{F466BE41-72F0-4A7B-94A1-ACA91566EDB7},,,,
-77.0199757617657,38.9588360336762,2066,398268.853033,143435.931661,30496,1,0,TQ,2004/02/23 05:00:00+00,{64E5C976-DCA1-45DC-9A58-A9396439A16F},,1,1, ,,, , , ,"ratplates, powerwash",0,58,LitterCans_77,{C093BEFF-8FA9-4D5E-995D-46C30FFCF8DA},,,,
-77.0277131118156,38.9587741002715,4909,397600.714375,143405.286303,10048,Steel,0,KEO,2008/01/23 05:00:00+00,{311B3DE8-7B26-4EC2-B1D0-C8FA425C798E},,P, , ,,, , , , ,0,59,LitterCans_78,{0FD82972-67B2-4AC0-B6A5-D4248FA1A410},,,,
-77.0885518042842,38.9587360945474,0,0,0,0,1,0,TQ,,{99B1ADE5-BAD4-42A3-BFC8-BDA9F9A51AB9},,1, , ,,, , , , ,0,60,LitterCans_79,{A70868F1-F034-4063-8E33-B27645136795},,,,
-77.0273997215401,38.9587657333971,4908,397616.7284,143407.239233,15475,Steel,0,KEO,2008/01/23 05:00:00+00,{63F65E77-BE56-4592-9801-E2B2774BD165},,P, , ,,, , , , ,0,61,LitterCans_80,{658C3982-B13E-419E-B3C1-E84204CB61BC},,,,
-77.001121614668,38.9586116817385,1881,399903.269935,143399.533342,27633,1,0,TQ,2004/02/20 05:00:00+00,{1EC04CD3-8878-4D22-AF8F-B98A610D875A},,1, , ,,, , , , ,0,62,LitterCans_83,{6C865E8E-AF53-45C8-892B-83D007EED399},,,,
-77.0270304003867,38.9585848974483,4907,397634.695356,143411.926264,15475,Steel,0,KEO,2008/01/23 05:00:00+00,{15DD0997-0F44-4299-A5BC-C4EF122BA512},,P, , ,,, , , , ,0,63,LitterCans_84,{3CF6D3F5-FED5-4BF3-BF03-82E27A619B2C},,,,
-77.0846719296101,38.9584448578689,3037,392661.448179,143395.721878,2218,1,0,TQ,2004/02/26 05:00:00+00,{628F8153-DAED-4BD5-AB31-58B08D078FA1},,1, , ,,, , , , ,0,64,LitterCans_85,{226106A4-9C2E-478B-9567-FD69B6AAA1DC},,,,
-77.0283599901291,38.9584690245043,2231,397542.160178,143395.383154,13756,1,0,TQ,2004/02/23 05:00:00+00,{179313A3-1D7D-469F-9376-984BC9920E22},,1, , ,,, , , ,"ratplates, powerwash",0,65,LitterCans_86,{AB51F564-24C9-452A-8AA8-09683C70F9BE},,,,
-77.0280909033767,38.9584547663322,2233,397565.482195,143393.793016,13756,1,1,TQ,2004/02/23 05:00:00+00,{EBF0BFD0-CE72-48D0-9CA1-F9D5EB7A962E},,1, , ,,, , , ,"ratplates, powerwash",0,66,LitterCans_87,{C24C0A76-7D7B-49D7-BB50-4F684C7A1D28},,,,
-76.9950401690196,38.9578734270492,0,0,0,0,1,0,TQ,,{D935B60D-EA40-4363-B7D7-7B0C4688A3B1},,1, , ,,, , , , ,0,67,LitterCans_90,{7E99B0A1-3E97-44AB-9BEF-D87ADB8D4BF9},,,,
-77.0091693452049,38.9578514265039,1952,399205.459174,143326.482323,9172,1,0,TQ,2004/02/20 05:00:00+00,{69D16A8E-2718-4395-8499-0C498521EF04},,1, , ,,, , , ,"ratplates, powerwash",0,68,LitterCans_91,{B4DFE9BE-FE0C-499D-B31B-24BF51C2329B},,,,
-77.0715811002107,38.9578230989284,2599,393796.012156,143325.729658,27916,1,0,TQ,2004/02/24 05:00:00+00,{F6AF9CA5-2287-454F-A366-3F18A0938B88},,1, , ,,, , , , ,0,69,LitterCans_92,{1B48A000-37DF-4771-A755-84C9E4BD1918},,,,
-77.0032561761061,38.9578380212325,0,0,0,0,1,1,TQ,,{498562E7-098B-481A-ABB0-88AD6665FC5D},,1, , ,,, , , , ,0,70,LitterCans_93,{4577A3C4-AF79-41D7-A0C3-C2F158128C38},,,,
-77.0084216859974,38.9578280883037,0,0,0,0,1,0,TQ,,{8DA6B5AE-DAD0-4E1D-BE4F-F7799E83C3FB},,1, , ,,, , , ,"ratplates, powerwash",0,71,LitterCans_94,{6C6A8FB6-A3EC-4AA1-B035-4F36F60CB37E},,,,
-77.0084948695866,38.9577390273248,1934,399263.916947,143313.999153,10483,Steel,1,AXL,2004/02/20 05:00:00+00,{1BB91D27-7B9D-43EA-BF2E-87D8C16B436E},, , , ,,, , , , ,0,72,LitterCans_95,{F8B9239E-38A0-40E6-8FA4-14A533ADD0E8},,,,
-77.0711776083308,38.9576029400384,2598,393830.964722,143301.262861,8014,1,0,TQ,2004/02/24 05:00:00+00,{574C1E46-05C7-4FAA-87A2-8A3BB224C303},,1, , ,,, , , , ,0,73,LitterCans_98,{73AC0778-69EC-439C-A1ED-27F0165EE68F},,,,
-77.0084632319879,38.9575305874273,1933,399266.657155,143290.859618,29410,1,0,TQ,2004/02/20 05:00:00+00,{914DC64B-D151-4BDF-9E5B-0BBF00231C98},,1, , ,,, , , ,"ratplates, powerwash",0,74,LitterCans_99,{BCCC191A-66B8-477C-9DCA-05B0EB0FC5B2},,,,
-77.0089585358289,38.9575223169643,1953,399223.727228,143289.946215,6800,1,0,TQ,2004/02/20 05:00:00+00,{BA2012BB-FEE9-4549-A18F-1EAE0D54D267},,1, , ,,, , , ,"ratplates, powerwash",0,75,LitterCans_100,{25E26F41-8CFA-4AAB-8DB8-BD1E8C68AB64},,,,
-77.0838552554167,38.9574407635529,3036,392732.129229,143284.192689,24312,1,1,TQ,2004/02/26 05:00:00+00,{EE528537-3D88-4D4F-A3A2-1307D17DD4E0},,1, , ,,, , , ,"ratplates, powerwash",0,76,LitterCans_101,{5013C126-79AE-4B91-B668-FE6688057C45},,,,
-77.0198408310306,38.9574370375215,2069,398280.514042,143280.628228,3505,1,0,TQ,2004/02/23 05:00:00+00,{ED898320-C911-4C1B-A709-A338C98DBB98},,1,1, ,,, , , ,"ratplates, powerwash",0,77,LitterCans_102,{7605570C-62B4-487D-A6E8-3BDC4E4E98D6},,,,
-77.0841463984103,38.9573578584847,3035,392706.885997,143275.013332,24312,1,0,TQ,2004/02/26 05:00:00+00,{CC9927B1-7AE0-4175-8E44-C02141271F75},,1, , ,,, , , , ,0,78,LitterCans_103,{2CB9D9F3-1219-4934-AC5F-079D15D1FE4A},,,,
-77.032566863133,38.9572121584692,2083,397177.488636,143255.981096,4480,Steel,0,AXD,2004/02/23 05:00:00+00,{174BB98A-DC32-4801-9ED3-014F9190D1BB},, , , ,,, , , , ,0,79,LitterCans_106,{EB20D828-77DC-495F-8D66-C870C500BB04},,,,
-77.0333121698794,38.9572101468282,2409,397112.890097,143255.780531,11579,1,0,TQ,2004/02/24 05:00:00+00,{2B6AC045-9E53-4559-9F63-F7DFC6000205},,1, , ,,, , , ,"ratplates, powerwash",0,80,LitterCans_107,{6423043E-74C8-41A3-963A-50C09C14CC96},,,,
-77.0282924141665,38.9571903810262,4380,397547.973318,143253.43968,10151,1,1,TQ,2004/08/11 04:00:00+00,{C149CEF5-3CB4-4683-BFC4-9DA161679E10},,1, , ,,, , , ,"ratplates, powerwash",0,81,LitterCans_108,{B5DE6A1B-F90A-469D-8E65-55001463B96B},,,,
