X,Y,OBJECTID,LATITUDE,LONGITUDE,DATE_MARKED,YEAR_MARKED,VOLUNTEER_GROUP,CATCH_BASIN_ID,INTERSECTION,GIS_ID,CREATOR,CREATED,EDITOR,EDITED
-77.0546300735205,38.9042355682222,1027,38.904228,-77.054628,10/23/2010,2010,Foggy Bottom Cleanup / Alt Breaks,C-218-081-388-549,Pennsylvania between 25th & 26th,StormDrainsPt_463,,,,
-76.9375994885395,38.9039022338561,1028,38.903894,-76.937597,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 8,C-319-078-867-963,45th b/w Lee and Sheriff,StormDrainsPt_387,,,,
-76.9249105923056,38.9038272320661,1029,38.903819,-76.924908,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 04,C-330-078-875-658,Sheriff Rd NE block of 5201 - 5134,StormDrainsPt_448,,,,
-77.0028328389968,38.9038494534196,1030,38.903842,-77.002831,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-263-080-293-125,220 L St NE,StormDrainsPt_1014,,,,
-77.0012439488761,38.9038466795718,1031,38.903839,-77.001242,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-264-080-670-090,1101 Abbey Pl NE,StormDrainsPt_1021,,,,
-76.9995745070227,38.9038466764407,1032,38.903839,-76.999572,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-266-080-121-058,1100 5th St NE,StormDrainsPt_1034,,,,
-76.9962328337809,38.9038383468699,1033,38.903831,-76.996231,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-269-079-018-986,1100 7th St NE,StormDrainsPt_1042,,,,
-77.0006411761155,38.9038355681366,1034,38.903828,-77.000639,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-265-080-194-065,1100 4th St NE,StormDrainsPt_1026,,,,
-77.0027300587393,38.9038272322588,1035,38.903819,-77.002728,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-263-080-383-098,220 L St NE,StormDrainsPt_1015,,,,
-77.0021050586904,38.9038272361947,1036,38.903819,-77.002103,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-263-080-925-086,1100 3rd St NE,StormDrainsPt_1017,,,,
