X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-76.9784160972591,38.8850755389841,7275,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8236
-76.9972378641473,38.8850646993756,7276,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_6000
-76.973136140717,38.8850311317138,7277,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8593
-77.0161507760662,38.8850250141245,7278,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3460
-77.0154813583791,38.8850221140003,7279,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3458
-76.9730294286942,38.8850175134709,7280,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8592
-76.9729508580774,38.885015954869,7281,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8591
-77.0146354216522,38.8850101788684,7282,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3376
-77.014579832683,38.8850093750671,7283,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3374
-77.0146730531141,38.8850092642995,7284,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3373
-77.0149853438726,38.8850089453846,7285,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3371
-77.0145427195839,38.8850088391916,7286,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3370
-77.0146170722763,38.8850084965987,7287,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3368
-77.013899293224,38.8850084581165,7288,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3367
-77.0145264104833,38.8850081926177,7289,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3366
-77.0166149358902,38.8849983112183,7290,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3286
-77.0163369112022,38.8849981882911,7291,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_5622
-77.0164685009079,38.8849980707167,7292,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3284
-77.0161890470296,38.8849979656558,7293,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_5617
-77.0166422403306,38.8849978298862,7294,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3282
-77.0165878501878,38.8849977115069,7295,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3281
-77.0160486861287,38.8849977147773,7296,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3279
-77.0161413994125,38.8849976209242,7297,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3278
-77.0161706747974,38.8849972925724,7298,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3277
-77.0160211624925,38.8849972951623,7299,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3276
-77.0163573461465,38.8849971044245,7300,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_5623
-77.0160953538151,38.8849969966924,7301,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3274
-77.0159542783408,38.8849968448912,7302,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3273
-77.0162413967926,38.8849966882049,7303,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_5618
-77.0159256020419,38.8849960380506,7304,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3272
-76.9970621681134,38.8849920965238,7305,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5998
-77.0134518797685,38.8849766568636,7306,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3365
-77.0249101401427,38.8849730273313,7307,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5523
-77.0248631265054,38.8849729382572,7308,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5522
-77.0249311630909,38.8849728787113,7309,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5520
-77.0247003134708,38.8849728196623,7310,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5519
-77.0247482144262,38.8849724311695,7311,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5517
-77.0247290700872,38.8849723181157,7312,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5516
-76.9737792461901,38.8849638050462,7313,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8590
-76.9736787301542,38.8849633410286,7314,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8589
-77.0213811865751,38.8849544307551,7315,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5515
-77.0214051485598,38.8849541651226,7316,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5514
-77.0212703085356,38.8849538114065,7317,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5512
-77.0212971404385,38.8849535542817,7318,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5511
-77.0184684638011,38.8849516216132,7319,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3271
-76.9844104543254,38.8849505105299,7320,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_8789
-76.9969654802595,38.8849489619098,7321,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5997
-77.023210503777,38.8849358485526,7322,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5509
-77.0231857462758,38.8849353399923,7323,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5507
-77.0231426860073,38.8849352674575,7324,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5506
-77.0231155427912,38.8849351196905,7325,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5504
-77.0235840406201,38.8849311163838,7326,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5503
