SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0616    0863,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2013/03/22 00:00:00+00,0,U,1900,,1964,1,3786,42,2060,2023/01/05 05:16:47+00,16958438
0616    0868,1,1,C,Brick/Concr,30,Average,BR,Brick,20,,1900/01/01 00:00:00+00,,U,1900,,1964,1,1636,81,800,2023/01/05 05:16:47+00,16958439
0616    0871,1,1,C,Brick/Concr,40,Good,BR,Brick,10,2,1900/01/01 00:00:00+00,,U,1900,,1934,1,4769,49,2100,2023/01/05 05:16:47+00,16958440
0617    0017,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1917,,1972,1,9787,51,11655,2023/01/05 05:16:47+00,16958441
0617    0103,1,1,C,Brick/Concr,40,Good,BR,Brick,10,8,2010/04/15 00:00:00+00,2250000,Q,1900,2008,2010,1,6863,49,2200,2023/01/05 05:16:47+00,16958442
0617    0163,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2014/05/12 00:00:00+00,69676,U,1900,2017,1972,3,2792,42,2132,2023/01/05 05:16:47+00,16958443
0617    0164,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2012/12/21 00:00:00+00,0,U,1900,,1962,1,3893,42,1004,2023/01/05 05:16:47+00,16958444
0617    0200,1,1,C,Brick/Concr,40,Good,BR,Brick,12,2,2021/05/27 00:00:00+00,1185000,Q,1906,,1980,3,1769,49,864,2023/01/05 05:16:47+00,16958445
0617    0207,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,2000,1902,1,1280,81,1050,2023/01/05 05:16:47+00,16958446
0617    0209,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,,1933,1,1280,81,1050,2023/01/05 05:16:47+00,16958447
0617    0210,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,,1933,1,1280,81,1050,2023/01/05 05:16:47+00,16958448
0617    0212,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,1999/07/28 00:00:00+00,210000,Q,1917,,1952,1,5903,62,7642,2023/01/05 05:16:47+00,16958449
0617    0216,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2019/07/05 00:00:00+00,1350000,U,1920,,1968,5,5502,42,1980,2023/01/05 05:16:47+00,16958450
0617    0240,1,1,C,Brick/Concr,40,Good,BR,Brick,10,4,2005/09/26 00:00:00+00,203660,Q,1900,,1934,1,4260,42,1870,2023/01/05 05:16:47+00,16958451
0617    0241,1,1,C,Brick/Concr,45,Good +,BR,Brick,9,6,2018/01/23 00:00:00+00,0,U,1900,2008,1973,2,8784,49,3600,2023/01/05 05:16:47+00,16958452
0617    0244,1,1,C,Brick/Concr,30,Average,BR,Brick,16,1,2021/05/13 00:00:00+00,2550000,Q,1917,,1933,2,5120,62,5133,2023/01/05 05:16:47+00,16958453
0617    0800,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,2003/03/13 00:00:00+00,1650000,Q,1914,,1966,1,31624,75,10945,2023/01/05 05:16:47+00,16958454
0617    2028,1,1,0,No Data,0,Default,0,Typical,,1,2022/07/08 00:00:00+00,875000,U,2019,,2019,2,1199,48,483,2023/01/05 05:16:47+00,16958455
0619    0176,1,1,C,Brick/Concr,30,Average,BR,Brick,9,284,1995/03/10 00:00:00+00,2811801,U,1969,2012,1998,1,325984,22,139574,2023/01/05 05:16:47+00,16958456
0620    0247,1,1,C,Brick/Concr,40,Good,BR,Brick,10,246,1900/01/01 00:00:00+00,0,U,1968,1984,1979,1,215137,22,105873,2023/01/05 05:16:47+00,16958457
0620    0247,2,1,0,No Data,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1968,,1968,1,9540,22,105873,2023/01/05 05:16:47+00,16958458
0620    0247,3,1,0,No Data,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1968,,1968,1,11520,22,105873,2023/01/05 05:16:47+00,16958459
0620    0247,4,1,0,No Data,30,Average,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1968,,1968,1,10080,22,105873,2023/01/05 05:16:47+00,16958460
0620    0251,1,1,B,Reinf Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,0,,1979,1,41833,81,26124,2023/01/05 05:16:47+00,16958461
0621    0244,1,1,C,Brick/Concr,30,Average,BR,Brick,8,28,2021/12/28 00:00:00+00,0,U,1982,1984,1982,2,3245,21,46200,2023/01/05 05:16:47+00,16958462
0621    0247,1,1,C,Brick/Concr,40,Good,BR,Brick,9,60,2013/11/25 00:00:00+00,0,U,2011,,2012,1,80034,22,47845,2023/01/05 05:16:47+00,16958463
0621    0248,1,1,B,Reinf Concr,30,Average,BR,Brick,9,133,2013/11/25 00:00:00+00,0,U,2014,,2015,1,152325,22,23185,2023/01/05 05:16:47+00,16958464
0622    0087,1,1,C,Brick/Concr,45,Good +,WS,Wood Siding,8,0,1900/01/01 00:00:00+00,,U,0,,1991,1,110681,89,49441,2023/01/05 05:16:47+00,16958465
0622    0089,1,1,B,Reinf Concr,50,Very Good,BR,Brick,10,,2017/09/05 00:00:00+00,69343700,U,1991,,1991,3,417455,52,32004,2023/01/05 05:16:47+00,16958466
0622    0844,1,1,,,,,,,,,2013/10/09 00:00:00+00,0,U,2014,,2014,1,0,83,284848,2023/01/05 05:16:47+00,16958467
0622    0845,1,1,C,Brick/Concr,50,Very Good,BR,Brick,60,,2013/10/09 00:00:00+00,0,U,1859,,1975,1,24588,81,16338,2023/01/05 05:16:47+00,16958468
0623    0836,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,2989,43,2989,2023/01/05 05:16:47+00,16958469
0623    0837,1,1,A,Struct Steel,60,Excellent,BV,Brick Veneer,12,,2013/12/23 00:00:00+00,0,U,2013,,2015,1,75686,22,75686,2023/01/05 05:16:47+00,16958470
0623    0839,1,1,C,Brick/Concr,60,Excellent,,,,4,2013/12/23 00:00:00+00,0,U,2013,,2014,1,11528,41,11528,2023/01/05 05:16:47+00,16958471
0623    7000,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,78021,63,0,2023/01/05 05:16:47+00,16958472
0623    7008,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,3,83793,43,0,2023/01/05 05:16:47+00,16958473
0623    7009,1,1,,,,,,,,,2013/12/23 00:00:00+00,0,U,2013,,0,1,73,22,0,2023/01/05 05:16:47+00,16958474
0623    7010,1,1,,,,,,,,,2013/12/23 00:00:00+00,0,U,2013,,0,1,4331,22,0,2023/01/05 05:16:47+00,16958475
0623    7011,1,1,,,,,,,,,2013/12/23 00:00:00+00,0,U,2013,,0,1,218,22,0,2023/01/05 05:16:47+00,16958476
0623    7012,1,1,,,,,,,,,2013/12/23 00:00:00+00,0,U,2013,,0,1,888,22,0,2023/01/05 05:16:47+00,16958477
0623    7013,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,1271,22,0,2023/01/05 05:16:47+00,16958478
0623    7014,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,83835,43,0,2023/01/05 05:16:47+00,16958479
0623    7015,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,73,22,0,2023/01/05 05:16:47+00,16958480
0623    7016,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,4331,22,0,2023/01/05 05:16:47+00,16958481
0623    7017,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,176,22,0,2023/01/05 05:16:47+00,16958482
0623    7018,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,888,22,0,2023/01/05 05:16:47+00,16958483
0623    7019,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,1271,22,0,2023/01/05 05:16:47+00,16958484
0623    7020,1,1,0,No Data,0,Default,0,Typical,,,2013/12/23 00:00:00+00,0,U,2013,,2013,1,90575,22,0,2023/01/05 05:16:47+00,16958485
0624    0815,1,1,C,Brick/Concr,30,Average,S,Stone,16,,1982/08/16 00:00:00+00,0,U,1923,,1979,2,7270,62,1599,2023/01/05 05:16:47+00,16958486
0624    0843,1,1,B,Reinf Concr,40,Good,WS,Wood Siding,8,0,1900/01/01 00:00:00+00,0,U,1989,,1995,1,680037,73,182640,2023/01/05 05:16:47+00,16958487
0624    0843,2,1,0,No Data,0,Default,S,Stone,14.7,0,1900/01/01 00:00:00+00,0,U,1940,,1940,1,635160,73,182640,2023/01/05 05:16:47+00,16958488
0625    0060,1,1,A,Struct Steel,50,Very Good,S,Stone,10,,2004/01/29 00:00:00+00,0,U,1990,,1990,1,335283,52,26326,2023/01/05 05:16:47+00,16958489
0625    0061,1,1,B,Reinf Concr,50,Very Good,,,,,2015/03/25 00:00:00+00,307000000,Q,2006,,2009,2,551388,52,53217,2023/01/05 05:16:47+00,16958490
0625    0062,1,1,A,Struct Steel,50,Very Good,0,Typical,9,,2004/08/13 00:00:00+00,9860000,Q,2015,,2017,1,203000,52,29525,2023/01/05 05:16:47+00,16958491
0625    0063,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,4,2013/01/10 00:00:00+00,0,U,1912,2008,1989,1,18852,36,12693,2023/01/05 05:16:47+00,16958492
0626    0077,1,1,B,Reinf Concr,60,Excellent,S,Stone,8,1,2001/03/07 00:00:00+00,1355000,Q,1925,1990,1975,1,8825,61,1956,2023/01/05 05:16:47+00,16958493
0626    0078,1,1,A,Struct Steel,55,Very Good +,0,Typical,8,1,2009/05/05 00:00:00+00,117400000,Q,2022,2021,2022,1,427120,52,49963,2023/01/05 05:16:47+00,16958494
0626    0079,1,1,B,Reinf Concr,55,Very Good +,BV,Brick Veneer,10,,2017/12/18 00:00:00+00,175000000,Q,2002,,2002,3,278640,52,30960,2023/01/05 05:16:47+00,16958495
0627    0013,1,1,A,Struct Steel,60,Excellent,0,Typical,10,,2004/04/09 00:00:00+00,16000000,Q,2004,,2004,1,105000,52,8285,2023/01/05 05:16:47+00,16958496
0628    0169,1,1,B,Reinf Concr,60,Excellent,S,Stone,8,1,2000/03/30 00:00:00+00,0,U,1966,2012,2005,1,297600,52,28743,2023/01/05 05:16:47+00,16958497
0628    0173,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2018/06/25 00:00:00+00,23774510,Q,1930,1991,1897,2,49888,52,8308,2023/01/05 05:16:47+00,16958498
0628    0174,1,1,B,Reinf Concr,30,Average,BR,Brick,8,0,2004/12/20 00:00:00+00,20000000,Q,1927,1984,1980,1,55820,32,9537,2023/01/05 05:16:47+00,16958499
0628    0859,1,1,C,Brick/Concr,40,Good,BR,Brick,8,120,2022/12/08 00:00:00+00,0,U,1949,,1974,2,82478,22,8355,2023/01/05 05:16:47+00,16958500
0628    0876,1,1,C,Brick/Concr,40,Good,BR,Brick,8,139,2003/09/24 00:00:00+00,24110113,Q,1929,1986,1990,1,88704,32,12594,2023/01/05 05:16:47+00,16958501
0628    0891,1,1,B,Reinf Concr,60,Excellent,BR,Brick,8,8,2001/01/01 00:00:00+00,0,U,1984,,1984,1,216300,52,14193,2023/01/05 05:16:47+00,16958502
0628    0893,1,1,B,Reinf Concr,30,Average,0,Typical,8,264,1900/01/01 00:00:00+00,0,U,1984,,1984,1,275396,32,29211,2023/01/05 05:16:47+00,16958503
0628    0894,1,1,A,Struct Steel,10,Poor,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1964,,1964,1,42080,84,19843,2023/01/05 05:16:47+00,16958504
0628    0895,1,1,B,Reinf Concr,40,Good,0,Typical,10,,1996/05/22 00:00:00+00,0,U,1986,,1991,1,142975,52,10067,2023/01/05 05:16:47+00,16958505
0628    0896,1,1,B,Reinf Concr,40,Good,BR,Brick,8,0,2019/03/26 00:00:00+00,85000000,U,1985,,1985,5,266907,52,18453,2023/01/05 05:16:47+00,16958506
0628    0901,1,1,A,Struct Steel,60,Excellent,,,,,2008/04/15 00:00:00+00,33682800,Q,2010,,2013,1,173460,52,22550,2023/01/05 05:16:47+00,16958507
0628    0902,1,1,C,Brick/Concr,50,Very Good,WS,Wood Siding,8,1,2004/03/10 00:00:00+00,0,U,1920,,1988,1,6460,67,3920,2023/01/05 05:16:47+00,16958508
0629    0041,1,1,B,Reinf Concr,40,Good,BV,Brick Veneer,8,834,2006/02/28 00:00:00+00,0,U,1975,1991,1981,4,605014,32,61116,2023/01/05 05:16:47+00,16958509
0630    0069,1,1,B,Reinf Concr,40,Good,C,Concrete,8,343,2019/02/15 00:00:00+00,108600000,U,1969,,1969,2,0,32,26765,2023/01/05 05:16:47+00,16958510
0630    0070,1,1,B,Reinf Concr,20,Fair,C,Concrete,8,1,2006/09/05 00:00:00+00,3300000,U,1969,1987,1969,1,5202,41,3243,2023/01/05 05:16:47+00,16958511
0630    0071,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2014/11/17 00:00:00+00,164500000,Q,1974,,1979,3,961282,52,96122,2023/01/05 05:16:47+00,16958512
0630    0072,1,1,B,Reinf Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1955,2008,2001,1,92327,52,33570,2023/01/05 05:16:47+00,16958513
0630    0831,1,1,B,Reinf Concr,35,Average +,C,Concrete,8,1,1900/01/01 00:00:00+00,,U,1970,,1970,1,900,41,7198,2023/01/05 05:16:47+00,16958514
0630    0833,1,1,C,Brick/Concr,30,Average,WS,Wood Siding,8,1,1900/01/01 00:00:00+00,,U,1917,1983,1970,1,11485,89,6618,2023/01/05 05:16:47+00,16958515
0631    0808,1,1,B,Reinf Concr,50,Very Good,,,,1,2015/02/25 00:00:00+00,496905750,U,2010,,2012,2,0,52,42323,2023/01/05 05:16:47+00,16958516
0631    0809,1,1,B,Reinf Concr,40,Good,S,Stone,10,2,2015/02/25 00:00:00+00,496905750,U,1936,1991,1975,2,260352,52,48698,2023/01/05 05:16:47+00,16958517
0634    0800,1,1,B,Reinf Concr,30,Average,C,Concrete,8,0,1900/01/01 00:00:00+00,0,U,0,,1900,1,0,89,90597,2023/01/05 05:16:47+00,16958518
0635    0825,1,1,A,Struct Steel,50,Very Good,S,Stone,8,0,1900/01/01 00:00:00+00,0,U,0,,1900,1,185826,52,409600,2023/01/05 05:16:47+00,16958519
0636    0815,1,1,B,Reinf Concr,45,Good +,CB,Concrete Block,8,0,1900/01/01 00:00:00+00,0,U,1793,1911,1980,1,744178,52,2574085,2023/01/05 05:16:47+00,16958520
0640    0069,1,1,A,Struct Steel,40,Good,C,Concrete,10,,2020/12/18 00:00:00+00,85903000,Q,1978,,1978,2,278599,52,46643,2023/01/05 05:16:47+00,16958521
0641    0833,1,1,C,Brick/Concr,30,Average,C,Concrete,12,,1900/01/01 00:00:00+00,,U,1950,,1970,1,365598,84,87424,2023/01/05 05:16:47+00,16958522
0641    7000,1,1,B,Reinf Concr,30,Average,C,Concrete,12,,1900/01/01 00:00:00+00,,U,1950,,1950,1,98450,84,0,2023/01/05 05:16:47+00,16958523
0643    0830,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2003/03/04 00:00:00+00,550000,Q,1880,,1975,1,11180,81,16644,2023/01/05 05:16:47+00,16958524
0643S   0803,1,1,D,Wood/Frame,30,Average,BR,Brick,40,,1900/01/01 00:00:00+00,0,U,1906,,1924,1,21502,84,21318,2023/01/05 05:16:47+00,16958525
0643S   0804,1,1,D,Wood/Frame,30,Average,BR,Brick,40,,1900/01/01 00:00:00+00,0,U,1906,,1924,1,10070,84,8337,2023/01/05 05:16:47+00,16958526
0644    0810,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1919,,1975,1,3736,89,6571,2023/01/05 05:16:47+00,16958527
0644    0812,1,1,C,Brick/Concr,30,Average,WS,Wood Siding,8,0,1900/01/01 00:00:00+00,0,U,1919,1970,1919,1,4918,87,137322,2023/01/05 05:16:47+00,16958528
0645    0814,1,1,C,Brick/Concr,30,Average,WS,Wood Siding,10,,2011/02/25 00:00:00+00,8000000,U,1920,1991,1920,1,24836,74,26758,2023/01/05 05:16:47+00,16958529
0645    0817,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2022,,0,1,0,22,26726,2023/01/05 05:16:47+00,16958530
0645    0818,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2022,,0,1,0,81,9241,2023/01/05 05:16:47+00,16958531
0645    7001,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2022,,0,1,0,63,0,2023/01/05 05:16:47+00,16958532
0645    7002,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2022,,0,1,0,22,0,2023/01/05 05:16:47+00,16958533
0645    7003,1,1,,,,,,,,,1900/01/01 00:00:00+00,0,U,2022,,0,1,0,81,0,2023/01/05 05:16:47+00,16958534
0645W   0022,1,1,C,Brick/Concr,40,Good,BR,Brick,8,0,1999/04/01 00:00:00+00,0,U,1965,,1975,1,34684,81,36372,2023/01/05 05:16:47+00,16958535
0646    0803,1,1,C,Brick/Concr,30,Average,BR,Brick,10,203,1900/01/01 00:00:00+00,0,U,1962,1994,1962,1,171867,32,46039,2023/01/05 05:16:47+00,16958536
0646    0804,1,1,,,,,,,,,2022/11/01 00:00:00+00,4166623,U,2023,,0,2,0,32,35546,2023/01/05 05:16:47+00,16958537
0647    0010,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1962,,1962,1,16854,89,34533,2023/01/05 05:16:47+00,16958538
0649    0805,1,1,,,,,,,,,2022/03/24 00:00:00+00,0,U,,,,2,0,41,17705,2023/01/05 05:16:47+00,16958539
0650    0078,1,1,C,Brick/Concr,30,Average,BR,Brick,8,17,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,15650,21,18903,2023/01/05 05:16:47+00,16958540
0650    0079,1,1,C,Brick/Concr,30,Average,BR,Brick,8,14,2001/09/13 00:00:00+00,0,U,1942,,1942,1,15650,21,21599,2023/01/05 05:16:47+00,16958541
0650    0081,1,1,C,Brick/Concr,30,Average,BR,Brick,8,17,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,15650,21,21146,2023/01/05 05:16:47+00,16958542
0650    0082,1,1,C,Brick/Concr,30,Average,BR,Brick,8,17,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,15650,21,17852,2023/01/05 05:16:47+00,16958543
0650    0083,1,1,0,No Data,20,Fair,BR,Brick,8,8,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,7386,21,12676,2023/01/05 05:16:47+00,16958544
0650    0084,1,1,C,Brick/Concr,30,Average,BR,Brick,8,7,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,6210,21,10802,2023/01/05 05:16:47+00,16958545
0650    0086,1,1,0,No Data,35,Average +,0,Typical,8,,2017/01/03 00:00:00+00,1600000,Q,0,,1990,2,7512,81,6305,2023/01/05 05:16:47+00,16958546
0650    0856,1,1,C,Brick/Concr,30,Average,BR,Brick,8,15,1900/01/01 00:00:00+00,0,U,1942,1984,1942,1,13806,21,16370,2023/01/05 05:16:47+00,16958547
0650    0858,1,1,C,Brick/Concr,30,Average,BR,Brick,8,15,1900/01/01 00:00:00+00,0,U,1942,1984,1942,1,13284,21,18705,2023/01/05 05:16:47+00,16958548
0650N   0810,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1960,,1960,1,53457,84,40659,2023/01/05 05:16:47+00,16958549
0650N   0815,1,1,C,Brick/Concr,30,Average,BR,Brick,11,0,2006/05/31 00:00:00+00,0,U,1967,,1967,1,46248,51,48888,2023/01/05 05:16:47+00,16958550
0651    0147,1,1,C,Brick/Concr,30,Average,WS,Wood Siding,10,,1985/01/29 00:00:00+00,0,U,1914,1989,1982,1,2000,42,1440,2023/01/05 05:16:47+00,16958551
0651    0148,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2007/01/29 00:00:00+00,4250000,Q,1950,,1957,1,4894,44,23362,2023/01/05 05:16:47+00,16958552
0651    0148,2,1,0,No Data,30,Average,CB,Concrete Block,12,,2007/01/29 00:00:00+00,4250000,Q,1989,,1989,1,4951,44,23362,2023/01/05 05:16:47+00,16958553
0651    0148,3,1,0,No Data,30,Average,CB,Concrete Block,12,,2007/01/29 00:00:00+00,4250000,Q,1989,,1989,1,3532,44,23362,2023/01/05 05:16:47+00,16958554
0652    0059,1,1,C,Brick/Concr,40,Good,BR,Brick,9,11,2011/01/20 00:00:00+00,1070000,Q,1942,1984,1957,1,9983,29,4949,2023/01/05 05:16:47+00,16958555
0652    0075,1,1,C,Brick/Concr,30,Average,BR,Brick,8,15,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,13436,21,14232,2023/01/05 05:16:47+00,16958556
0652    0076,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4914,21,7840,2023/01/05 05:16:47+00,16958557
0652    0077,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,6264,21,19932,2023/01/05 05:16:47+00,16958558
0652    0078,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4914,21,7496,2023/01/05 05:16:47+00,16958559
0652    0079,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4914,21,7361,2023/01/05 05:16:47+00,16958560
0652    0080,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,6264,21,13763,2023/01/05 05:16:47+00,16958561
0652    0081,1,1,C,Brick/Concr,30,Average,BR,Brick,8,10,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,8154,29,14778,2023/01/05 05:16:47+00,16958562
0652    0082,1,1,C,Brick/Concr,30,Average,BR,Brick,8,11,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,9342,21,9222,2023/01/05 05:16:47+00,16958563
0652    0083,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,7448,21,7278,2023/01/05 05:16:47+00,16958564
0652    0084,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4482,21,8034,2023/01/05 05:16:47+00,16958565
0652    0085,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4482,21,8188,2023/01/05 05:16:47+00,16958566
0652    0086,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4482,21,8188,2023/01/05 05:16:47+00,16958567
0652    0087,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,4482,21,8188,2023/01/05 05:16:47+00,16958568
0652    0088,1,1,C,Brick/Concr,30,Average,BR,Brick,8,10,2001/09/13 00:00:00+00,0,U,1942,1984,1942,1,8154,21,15066,2023/01/05 05:16:47+00,16958569
0652    0803,1,1,C,Brick/Concr,40,Good,WS,Wood Siding,8,1,1900/01/01 00:00:00+00,,U,1928,,1928,1,6008,81,3757,2023/01/05 05:16:47+00,16958570
0653    0052,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,2006/11/02 00:00:00+00,550000,Q,1900,,1900,1,1226,42,1128,2023/01/05 05:16:47+00,16958571
0653    0111,1,1,B,Reinf Concr,55,Very Good +,BV,Brick Veneer,9,277,2011/04/13 00:00:00+00,9388000,U,2012,,2014,1,269995,22,41019,2023/01/05 05:16:47+00,16958572
0653    0112,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,1900/01/01 00:00:00+00,0,U,1900,,1979,1,7638,21,37456,2023/01/05 05:16:47+00,16958573
0653    0829,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2008/11/26 00:00:00+00,0,U,0,,1967,1,1302,41,1635,2023/01/05 05:16:47+00,16958574
0654    0020,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,0,U,1958,1984,1958,1,6372,21,5723,2023/01/05 05:16:47+00,16958575
0654    0025,1,1,0,No Data,30,Average,BR,Brick,8,4,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6138,26,3690,2023/01/05 05:16:47+00,16958576
0654    0030,1,1,0,No Data,30,Average,WS,Wood Siding,8,4,1900/01/01 00:00:00+00,,U,1937,1984,1937,1,6117,26,3690,2023/01/05 05:16:47+00,16958577
0654    0031,1,1,0,No Data,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6752,26,3543,2023/01/05 05:16:47+00,16958578
0654    0032,1,1,0,No Data,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1898,1,5456,26,2854,2023/01/05 05:16:47+00,16958579
0654    0033,1,1,0,No Data,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,5456,26,2854,2023/01/05 05:16:47+00,16958580
0654    0034,1,1,0,No Data,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6752,26,3543,2023/01/05 05:16:47+00,16958581
0654    0035,1,1,0,No Data,30,Average,WS,Wood Siding,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6744,26,6105,2023/01/05 05:16:47+00,16958582
0654    0036,1,1,0,No Data,30,Average,BR,Brick,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,5058,26,6394,2023/01/05 05:16:47+00,16958583
0654    0037,1,1,0,No Data,30,Average,WS,Wood Siding,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6744,26,4994,2023/01/05 05:16:47+00,16958584
0654    0038,1,1,0,No Data,30,Average,WS,Wood Siding,8,6,1900/01/01 00:00:00+00,,U,1939,1984,1939,1,6744,26,6105,2023/01/05 05:16:47+00,16958585
0654    0039,1,1,C,Brick/Concr,40,Good,BR,Brick,8,36,2001/09/13 00:00:00+00,0,U,1958,1984,1958,1,36342,21,33117,2023/01/05 05:16:47+00,16958586
0656    0049,1,1,C,Brick/Concr,30,Average,BR,Brick,8,12,2001/09/13 00:00:00+00,0,U,1959,1984,1959,1,14040,21,20922,2023/01/05 05:16:47+00,16958587
0656    0050,1,1,B,Reinf Concr,30,Average,BR,Brick,8,12,2001/09/13 00:00:00+00,0,U,1958,1984,1958,1,13392,21,9548,2023/01/05 05:16:47+00,16958588
0656    0051,1,1,C,Brick/Concr,30,Average,BR,Brick,8,18,2001/09/13 00:00:00+00,0,U,1958,1984,1958,1,18360,21,15360,2023/01/05 05:16:47+00,16958589
0656    0052,1,1,C,Brick/Concr,30,Average,BR,Brick,8,12,2001/09/13 00:00:00+00,0,U,1958,1984,1958,1,12366,21,11537,2023/01/05 05:16:47+00,16958590
0656    0053,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2020/03/05 00:00:00+00,7187581,Q,1940,2006,1971,3,11700,83,13206,2023/01/05 05:16:47+00,16958591
