SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0070    0881,1,1,0,No Data,0,Default,,,,0,2015/09/02 00:00:00+00,113000000,U,2008,,2010,2,0,32,32504,2023/01/05 05:16:47+00,16952152
0070    0883,1,1,0,No Data,0,Default,,,,0,2015/09/02 00:00:00+00,113000000,U,2009,,2009,2,0,32,139,2023/01/05 05:16:47+00,16952153
0070    0884,1,1,0,No Data,0,Default,,,,0,2015/09/02 00:00:00+00,113000000,U,2008,,2008,2,0,42,13590,2023/01/05 05:16:47+00,16952154
0070    7000,1,1,0,No Data,0,Default,,,,0,2015/09/02 00:00:00+00,113000000,U,2009,,2009,2,0,32,0,2023/01/05 05:16:47+00,16952155
0080    0822,1,1,C,Brick/Concr,50,Very Good,,,,1,1900/01/01 00:00:00+00,,U,1900,2011,2008,1,2454,51,1045,2023/01/05 05:16:47+00,16952156
0080    0823,1,1,C,Brick/Concr,55,Very Good +,,,,1,1900/01/01 00:00:00+00,,U,1900,2011,1991,1,2658,51,1057,2023/01/05 05:16:47+00,16952157
0080    0825,1,1,B,Reinf Concr,40,Good,S,Stone,9,,1900/01/01 00:00:00+00,,U,1926,,1965,1,64899,36,12274,2023/01/05 05:16:47+00,16952158
0080    0828,1,1,C,Brick/Concr,60,Excellent,BV,Brick Veneer,12,,1900/01/01 00:00:00+00,,U,1915,,1975,1,24680,36,6499,2023/01/05 05:16:47+00,16952159
0080    0841,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2007/10/01 00:00:00+00,0,U,0,,1965,1,31409,83,21109,2023/01/05 05:16:47+00,16952160
0081    0060,1,1,C,Brick/Concr,60,Excellent,BR,Brick,12,,2002/04/10 00:00:00+00,540000,Q,1880,2016,2002,1,1763,21,852,2023/01/05 05:16:47+00,16952161
0081    0096,1,1,A,Struct Steel,40,Good,WS,Wood Siding,10,223,1900/01/01 00:00:00+00,0,U,1955,,1979,1,94139,32,15462,2023/01/05 05:16:47+00,16952162
0081    0097,1,1,A,Struct Steel,40,Good,WS,Wood Siding,10,,1900/01/01 00:00:00+00,0,U,1955,,1979,1,104785,32,15462,2023/01/05 05:16:47+00,16952163
0081    0097,2,1,0,No Data,0,Default,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1955,,1955,1,92896,32,15462,2023/01/05 05:16:47+00,16952164
0081    0098,1,1,C,Brick/Concr,30,Average,WS,Wood Siding,10,,1900/01/01 00:00:00+00,,U,1925,,1975,1,8428,34,3392,2023/01/05 05:16:47+00,16952165
0081    0103,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,0,U,1941,1985,2010,1,108229,22,19451,2023/01/05 05:16:47+00,16952166
0081    0811,1,1,C,Brick/Concr,30,Average,SU,Stucco,12,,1995/06/09 00:00:00+00,500000,U,0,2010,1961,1,2176,42,3825,2023/01/05 05:16:47+00,16952167
0081    0834,1,1,C,Brick/Concr,20,Fair,BR,Brick,40,,1900/01/01 00:00:00+00,,U,1954,,1979,1,8019,84,22324,2023/01/05 05:16:47+00,16952168
0081    0835,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,9,144,2001/07/27 00:00:00+00,0,U,1950,,1985,1,103790,22,16006,2023/01/05 05:16:47+00,16952169
0081    0836,1,1,C,Brick/Concr,55,Very Good +,S,Stone,12,,1900/01/01 00:00:00+00,,U,1948,,1985,1,16500,85,4708,2023/01/05 05:16:47+00,16952170
0081    0843,1,1,C,Brick/Concr,50,Very Good,C,Concrete,10,,2020/01/03 00:00:00+00,0,U,1986,,1995,2,139564,52,29792,2023/01/05 05:16:47+00,16952171
0081    0844,1,1,C,Brick/Concr,25,Fair +,C,Concrete,12,,2022/08/24 00:00:00+00,0,U,1940,2010,1970,4,16326,41,9202,2023/01/05 05:16:47+00,16952172
0081    0846,1,1,B,Reinf Concr,45,Good +,BR,Brick,9,,1900/01/01 00:00:00+00,0,U,1989,,1989,1,69402,36,7714,2023/01/05 05:16:47+00,16952173
0081    2001,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2015/01/28 00:00:00+00,520000,U,1989,,1989,2,1811,58,472,2023/01/05 05:16:47+00,16952174
0081    2150,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,1003,57,226,2023/01/05 05:16:47+00,16952175
0081    2151,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,3664,57,652,2023/01/05 05:16:47+00,16952176
0081    2152,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2001/03/28 00:00:00+00,631000,U,1984,,1984,1,2827,57,591,2023/01/05 05:16:47+00,16952177
0081    2153,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2014/10/27 00:00:00+00,512000,Q,1984,,1984,2,1007,57,221,2023/01/05 05:16:47+00,16952178
0081    2156,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2010/06/04 00:00:00+00,425000,Q,1984,,1984,1,1469,57,294,2023/01/05 05:16:47+00,16952179
0081    2213,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2022/11/18 00:00:00+00,703500,U,1984,,1984,3,475,57,95,2023/01/05 05:16:47+00,16952180
0081    2214,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2022/11/18 00:00:00+00,929250,Q,1984,,1984,2,2288,57,482,2023/01/05 05:16:47+00,16952181
0081    2216,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2020/06/24 00:00:00+00,1275000,Q,1984,,1984,4,2726,57,555,2023/01/05 05:16:47+00,16952182
0081    2217,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,1095,57,271,2023/01/05 05:16:47+00,16952183
0081    2218,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,509,57,109,2023/01/05 05:16:47+00,16952184
0081    2219,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2010/03/11 00:00:00+00,229000,Q,1984,,1984,1,519,57,113,2023/01/05 05:16:47+00,16952185
0081    2220,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,508000,Q,1984,,1984,1,2207,57,432,2023/01/05 05:16:47+00,16952186
0081    2221,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,2141,57,465,2023/01/05 05:16:47+00,16952187
0081    2223,1,1,B,Reinf Concr,40,Good,WS,Wood Siding,8,0,2017/01/13 00:00:00+00,1781500,Q,1984,,1984,3,3563,57,616,2023/01/05 05:16:47+00,16952188
0081    2224,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2019/01/09 00:00:00+00,0,U,1984,,1984,3,1461,57,321,2023/01/05 05:16:47+00,16952189
0081    2225,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,717,57,138,2023/01/05 05:16:47+00,16952190
0081    2227,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2019/06/19 00:00:00+00,760000,U,1984,,1984,4,682,57,190,2023/01/05 05:16:47+00,16952191
0081    2228,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2019/06/19 00:00:00+00,760000,U,1984,,1984,4,1201,57,248,2023/01/05 05:16:47+00,16952192
0081    2230,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2014/09/18 00:00:00+00,440000,Q,1984,,1984,3,670,57,165,2023/01/05 05:16:47+00,16952193
0081    2231,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2013/04/03 00:00:00+00,800000,U,1984,,1984,1,1670,57,339,2023/01/05 05:16:47+00,16952194
0081    2232,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2022/11/18 00:00:00+00,703500,U,1984,,1984,3,1121,57,376,2023/01/05 05:16:47+00,16952195
0081    2233,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2004/04/01 00:00:00+00,4944000,U,1984,,1984,1,1219,57,166,2023/01/05 05:16:47+00,16952196
0081    2304,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2013/06/24 00:00:00+00,1300000,U,1984,,1984,1,2248,57,527,2023/01/05 05:16:47+00,16952197
0081    2305,1,1,B,Reinf Concr,60,Excellent,WS,Wood Siding,8,0,2016/04/07 00:00:00+00,485000,Q,1984,,1984,3,624,57,135,2023/01/05 05:16:47+00,16952198
0081    2306,1,1,B,Reinf Concr,60,Excellent,0,Typical,,,2021/09/21 00:00:00+00,1100000,Q,1934,,1947,4,2514,57,510,2023/01/05 05:16:47+00,16952199
0081    2307,1,1,B,Reinf Concr,60,Excellent,0,Typical,,,2003/07/25 00:00:00+00,231300,Q,1934,,1947,1,1222,57,239,2023/01/05 05:16:47+00,16952200
0084    0807,1,1,B,Reinf Concr,40,Good,S,Stone,10,,1900/01/01 00:00:00+00,0,U,1941,,1988,1,546456,52,195773,2023/01/05 05:16:47+00,16952201
0085    0060,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,2000/11/28 00:00:00+00,50000000,Q,1973,,1978,1,239437,52,22473,2023/01/05 05:16:47+00,16952202
0085    0061,1,1,B,Reinf Concr,40,Good,MS,Metal Siding,10,,2007/06/19 00:00:00+00,0,U,1982,,1995,1,158688,52,15574,2023/01/05 05:16:47+00,16952203
0085    0830,1,1,B,Reinf Concr,30,Average,BR,Brick,10,,2001/12/03 00:00:00+00,16600000,Q,2019,,2020,1,155462,52,16406,2023/01/05 05:16:47+00,16952204
0085    0843,1,1,C,Brick/Concr,40,Good,,,,,2008/01/10 00:00:00+00,0,U,0,,1934,1,110000,52,16543,2023/01/05 05:16:47+00,16952205
0085    0844,1,1,A,Struct Steel,60,Excellent,C,Concrete,12,,2009/09/01 00:00:00+00,207751142,Q,2009,,2012,1,250345,52,24889,2023/01/05 05:16:47+00,16952206
0086    0029,1,1,C,Brick/Concr,25,Fair +,BR,Brick,12,,2020/10/08 00:00:00+00,1550000,Q,1960,1985,1988,4,3033,67,1400,2023/01/05 05:16:47+00,16952207
0086    0038,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2014/07/11 00:00:00+00,8700000,Q,1924,1982,1970,4,28288,52,3815,2023/01/05 05:16:47+00,16952208
0086    0042,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,2001/07/03 00:00:00+00,55800000,Q,1978,,1985,1,297949,52,38176,2023/01/05 05:16:47+00,16952209
0086    0805,1,1,B,Reinf Concr,40,Good,BR,Brick,10,,2001/02/28 00:00:00+00,4100000,Q,1957,1990,1977,1,20234,52,3349,2023/01/05 05:16:47+00,16952210
0086    0807,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1904,,1987,1,6532,42,1669,2023/01/05 05:16:47+00,16952211
0086    0844,1,1,A,Struct Steel,60,Excellent,BR,Brick,11,,2005/01/12 00:00:00+00,216900000,Q,1995,,2001,1,440000,52,27180,2023/01/05 05:16:47+00,16952212
0086    0845,1,1,B,Reinf Concr,50,Very Good,0,Typical,12,,2007/01/05 00:00:00+00,11265387,Q,1986,,2017,1,159565,52,17067,2023/01/05 05:16:47+00,16952213
0087E   0805,1,1,B,Reinf Concr,50,Very Good,S,Stone,12,,1900/01/01 00:00:00+00,0,U,1973,,1973,1,228942,52,65575,2023/01/05 05:16:47+00,16952214
0088    0058,1,1,B,Reinf Concr,50,Very Good,S,Stone,10,,1900/01/01 00:00:00+00,,U,1924,1970,1988,1,109303,52,189756,2023/01/05 05:16:47+00,16952215
0088E   0812,1,1,B,Reinf Concr,50,Very Good,SV,Stone Veneer,10,,1900/01/01 00:00:00+00,0,U,1936,,1985,1,165064,52,151288,2023/01/05 05:16:47+00,16952216
0090    0006,1,1,C,Brick/Concr,60,Excellent,BR,Brick,12,,2012/12/10 00:00:00+00,23243500,U,1912,1985,2001,1,6973,42,1888,2023/01/05 05:16:47+00,16952217
0090    0009,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2014/07/01 00:00:00+00,0,U,1910,1965,2000,2,2630,45,932,2023/01/05 05:16:47+00,16952218
0090    0010,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2014/07/01 00:00:00+00,0,U,1912,,2000,2,3154,42,1112,2023/01/05 05:16:47+00,16952219
0090    0031,1,1,C,Brick/Concr,40,Good,BR,Brick,9,,2012/12/10 00:00:00+00,23243500,U,1924,,1984,1,15638,42,5042,2023/01/05 05:16:47+00,16952220
0090    0032,1,1,B,Reinf Concr,30,Average,BR,Brick,10,,1996/10/23 00:00:00+00,0,U,1969,2012,1969,1,85007,52,8641,2023/01/05 05:16:47+00,16952221
0090    0033,1,1,A,Struct Steel,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1994,,2010,1,88150,52,14240,2023/01/05 05:16:47+00,16952222
0090    0808,1,1,C,Brick/Concr,35,Average +,C,Concrete,12,,2019/03/11 00:00:00+00,6399500,U,1908,1984,2001,2,6792,45,3637,2023/01/05 05:16:47+00,16952223
0090    0814,1,1,C,Brick/Concr,30,Average,C,Concrete,12,,2012/12/10 00:00:00+00,23243500,U,1922,,1995,1,3484,45,3155,2023/01/05 05:16:47+00,16952224
0091    0014,1,1,A,Struct Steel,50,Very Good,0,Typical,12,,2012/12/10 00:00:00+00,23243500,U,1910,2016,1974,1,5762,42,2500,2023/01/05 05:16:47+00,16952225
0091    0015,1,1,A,Struct Steel,40,Good,0,Typical,12,,2012/12/10 00:00:00+00,23243500,U,1910,1989,1972,1,6971,42,2500,2023/01/05 05:16:47+00,16952226
0091    0022,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1999/09/01 00:00:00+00,574014,Q,1928,1989,2000,1,3440,42,842,2023/01/05 05:16:47+00,16952227
0091    0023,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1928,2010,1985,1,2906,42,872,2023/01/05 05:16:47+00,16952228
0091    0024,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2020/01/10 00:00:00+00,0,U,1928,1958,2000,3,3788,42,1186,2023/01/05 05:16:47+00,16952229
0091    0028,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,4,2007/01/12 00:00:00+00,5500000,U,1928,2015,1990,1,7275,42,1417,2023/01/05 05:16:47+00,16952230
0091    0029,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,12,,2012/12/19 00:00:00+00,4500000,Q,1928,2015,2001,1,5170,42,1416,2023/01/05 05:16:47+00,16952231
0091    0031,1,1,C,Brick/Concr,40,Good,BR,Brick,12,1,1900/01/01 00:00:00+00,,U,1928,2004,1908,1,5113,45,2911,2023/01/05 05:16:47+00,16952232
0091    0032,1,1,C,Brick/Concr,40,Good,BR,Brick,10,5,2018/04/05 00:00:00+00,6500000,Q,1927,1985,1979,2,17010,42,3673,2023/01/05 05:16:47+00,16952233
0091    0033,1,1,B,Reinf Concr,50,Very Good,BR,Brick,12,,2002/07/12 00:00:00+00,1180000,Q,1927,,2000,1,3492,42,1399,2023/01/05 05:16:47+00,16952234
0091    0034,1,1,B,Reinf Concr,40,Good,BR,Brick,12,,2011/08/22 00:00:00+00,2800000,Q,1927,2005,1968,1,6264,45,1539,2023/01/05 05:16:47+00,16952235
0091    0035,1,1,C,Brick/Concr,40,Good,BR,Brick,10,0,1900/01/01 00:00:00+00,,U,1890,1992,1978,1,8167,51,3450,2023/01/05 05:16:47+00,16952236
0091    0036,1,1,0,No Data,0,Default,0,Typical,8,0,2012/12/10 00:00:00+00,23243500,U,0,,1979,1,14130,42,5976,2023/01/05 05:16:47+00,16952237
0091    0800,1,1,C,Brick/Concr,30,Average,BR,Brick,9,,1900/01/01 00:00:00+00,,U,1923,1987,1968,1,18196,49,6327,2023/01/05 05:16:47+00,16952238
0091    2004,1,1,C,Brick/Concr,30,Average,0,Typical,,1,2013/10/26 00:00:00+00,0,U,2014,,2015,1,3464,48,960,2023/01/05 05:16:47+00,16952239
0091    2005,1,1,C,Brick/Concr,30,Average,0,Typical,,1,2016/04/08 00:00:00+00,0,U,2014,,2015,2,772,48,219,2023/01/05 05:16:47+00,16952240
0092    0015,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,13,2022/02/01 00:00:00+00,3100000,Q,1918,1965,1985,4,9065,21,2296,2023/01/05 05:16:47+00,16952241
0092    0025,1,1,C,Brick/Concr,50,Very Good,BR,Brick,22,1,2018/12/14 00:00:00+00,0,U,1936,1985,1958,2,4253,45,2591,2023/01/05 05:16:47+00,16952242
0092    0030,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1900,,2000,1,6758,45,1977,2023/01/05 05:16:47+00,16952243
0092    0036,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,12,,2001/01/01 00:00:00+00,0,U,1901,,2000,1,6839,45,2060,2023/01/05 05:16:47+00,16952244
0092    0037,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2011/06/15 00:00:00+00,0,U,1901,,2000,1,4669,45,2202,2023/01/05 05:16:47+00,16952245
